,title,company,salary,description
0,Flutter Developer,Etiqa Life Insurance Berhad,,We’re looking for creative and dynamic developer to join us building high performing mobile applications on Android and iOS using latest mobile development.
1,Flutter Developer,Brandt International Sdn Bhd,,Develop state of the art highly interactive and rich animation experience for mobile and desktop app using Flutter.
2,Software Engineer,Wemabox Solutions Sdn. Bhd.,,"Job Description Software Engineer is responsible to design and implement system, feature, and solutions business needs."
3,Flutter Developer,BEEDUCATION ADVENTURES SDN BHD,,"Within defined quality and performance standards.
Participate throughout the SDLC, including analysis, design, development, testing, integration, deployment and…"
4,Flutter Developer,ACD Development Sdn. Bhd,,"Within defined quality and performance standards.
Participate throughout the SDLC, including analysis, design, development, testing, integration, deployment and…"
5,Associate/Senior Mobile Engineer (Flutter),Astro Holdings,,"The role will build, enhance and monitor mobile apps of ASTRO digital products, in a team that is focused on quality and security of mobile apps."
6,Mobile App Developer,QuickDesk,,"You will be working on our mobile applications (iOS and/or Android);
Develop user-facing features for the mobile applications;"
7,Account Executive (Digital Media Project),Nuren Group,,"You will play the account management role in handling our advertiser's digital media projects & campaigns.
You are responsible for managing the flow of work for…"
8,Wordpress & Mobile App Developer,Advance Plus Property Management Sdn Bhd,,"Job Scopes: - Develop and maintain websites and web-based application with WordPress, WooCommerce & CMS - Designing, integrating, upgrading and maintaining the…"
9,Unity Developer,Hays,,"You would be responsible for developing interactive experiences such as Augmented Reality & Virtual Reality, be it on any platform events, kiosks, mobile,…"
10,Flutter Junior Programmer,XEERSOFT SDN BHD,,"Design & implement new app modules based on the product requirements using Flutter framework.
Build reusable code and libraries for future use."
11,Mobile App Developer (PJ area/Up to 6k/MS SQL),Agensi Pekerjaan Times Management Consultancy Sdn...,,"Developing customized solutions for the mobile platform.
Designing, coding, and implementing mobile applications.
Stay up-to-date with new technology trends."
12,Internship for Computer IT (Web Programmer),Dideta Multitech Sdn Bhd,,Testing and de-bugging to make sure our platform runs smoothly Data processing and analysis Exposure to cloud technologies Requirements: Candidate must possess…
13,INTERNSHIP-Full time Programmer to develop Websites and Apps,AQ Wise Sdn Bhd,,"INTERNSHIP- Full time Programmer to develop Websites and Apps.
Acquire Flutter programming skill or Willing to learn Flutter intensively."
