,title,company,salary,description
0,Junior Flutter Developer,ADVISORY APPS SDN BHD,"RM 3,500 - RM 3,999 a month","Test and resolve bug issues.
Ensure app works across multiple devices.
Collaborate with cross-functional teams to define, design and ship new features."
1,Flutter Developer,Idw design & build sdn bhd,"RM 3,500 a month","At least 1 year worth of industry experience as Full Stack Developer or similar role in a production environment.
Familiarity with limitations of Node."
2,Flutter Developer,UP DEVLABS SDN BHD,"RM 4,000 - RM 4,999 a month",Job Description: • Design and develop state of the art highly interactive and rich animation experience for mobile using Flutter.
3,Web / App Developer (Internship),Saratix,"RM 800 - RM 1,000 a month","Python coding language (open source coding that can be used for Artificial Intelligence and Machine Learning).
Familiarity in AWS / Google Colab."
4,IT Support,Lapasar.com,"RM 2,000 - RM 4,000 a month","To perform enhancement and defect fixing at the code level.
To work closely with internal and external users to understand their needs & issues."
5,Flutter Mobile App Developer,Applify Technologies Sdn Bhd,"RM 3,500 - RM 4,900 a month","Develop flutter application using Dart (Required).
Architect, design, develop, and maintain Flutter applications.
Integrate various APIs from third parties."
6,Flutter Developer (Intern),Webby Sdn Bhd,"RM 500 - RM 1,000 a week","Architect, build and maintain excellent Flutter applications with clean code.
Implement pixel perfect UI's that match designs.
Integrate third-party API's."
7,Junior Programmer,De Metrology Sdn. Bhd.,"RM 2,000 - RM 2,500 a month","You will be working on full stack web system and mobile application development.
Study for Software Engineering Major.
Experience on MySQL database server."
8,IT Intern,BestWeb Technologies Sdn Bhd,,"Support the Operation team in maintaining support ticketing system.
Assist with troubleshooting issues and provide technical support."
9,Flutter Mobile App Developer,Ultranet Technologies Sdn Bhd,"RM 3,500 - RM 4,900 a month","Develop flutter application using Dart (Required).
Integrate mobile applications with backend RESTful services.
Work with outside data sources and APIs."
10,Flutter Developer,Artisan IT Solution Sdn Bhd,,"Support the entire application lifecycle (concept, design, test, release and support).
Develop fully functional mobile applications writing clean code."
11,Flutter Developer,Brandt International Sdn Bhd,"RM 6,000 a month",Develop state of the art highly interactive and rich animation experience for mobile and desktop app using Flutter.
12,Mobile Application Developer (Flutter),GME Technical Services Sdn Bhd,"RM 3,000 - RM 5,000 a month","Participate in deployment of system including user requirement scoping, design, coding, testing and implementation.
Maintain and support the existing system."
