,title,company,location,salary,description
0,Flutter Developr,Agensi Pekerjaan EPS Consultants Sdn Bhd,Kuala Lumpur,"RM 4,000 a month","Focusing on the on developing business application in web technology, such as Website designing, customization, graphic design, web promotion, IT consultancy."
1,Flutter Developer,4X Software Sdn Bhd,Cyberjaya,,"Your role As a Flutter Developer at Deriv, you will be responsible for designing and developing applications for iOS and Android platforms while working closely…"
2,Mobile Application Developer - Behavioral Health,Empathic,Kuala Lumpur•Remote,"RM 4,000 - RM 5,000 a month","Support the entire application lifecycle (concept, design, test, release and support).
Produce fully functional mobile applications writing clean code."
3,Software Developer,Allstaff sdn bhd,Bayan Lepas,"RM 3,500 - RM 4,000 a month","Diploma/ Degree in Computer Science, Computer Programming or related field.
At least 1 year working experience in related field."
4,Flutter Mobile Engineer,Techtiera,Kuala Lumpur,"RM 2,977 - RM 10,358 a month","Build new and key features for Setel on our Flutter codebase by working closely with the Product Managers, design teams and backend team."
5,Mobile App Developer,Marvel Media Sdn Bhd,Jelutong,,"Take ownership of the entire application lifecycle (concept, design, test, release and support).
Continuously research, evaluate and adapt new mobile…"
6,Mobile Apps Developer (Flutter or Cordova),LCP Buildsoft Technology (M) Sdn Bhd,Klang,"RM 3,000 - RM 8,000 a month","Design, develop, integrate third-party components, test, install, and support.
Build new product features on server and client side."
7,Flutter Developr,EPS Malaysia,Kuala Lumpur,"RM 4,000 a month","Focusing on the on developing business application in web technology, such as Website designing, customization, graphic design, web promotion, IT consultancy."
8,Mobile Application Developer,Tribeans Solutions,Cyberjaya,"RM 3,000 - RM 3,500 a month","Feasibility of new functionalities through capabilities of current flutter technology.
Translate UI / UX designs into high quality code."
9,MOBILE DEVELOPER,The eCEOS Sdn Bhd,Kuala Lumpur,"RM 6,000 - RM 9,000 a month","A Mobile developer who is able to do application coding, testing, debugging, documenting and monitoring.
As part of agile team, involvement also includes user…"
10,Flutter Developer,Brandt International Sdn Bhd,Kuala Lumpur,"RM 6,000 a month",Develop state of the art highly interactive and rich animation experience for mobile and desktop app using Flutter.
11,INTERNSHIP-Full time Programmer to develop Websites and Apps,AQ Wise Sdn Bhd,Shah Alam•Remote,,"INTERNSHIP- Full time Programmer to develop Websites and Apps.
Acquire Flutter programming skill or Willing to learn Flutter intensively."
12,Software Developer,Pingspace Sdn. Bhd.,Bayan Lepas•Temporarily Remote,"RM 3,500 a month","Our Software Developers work on a range of problems: from the backend (designing database, designing operation optimization algorithms, designing communication…"
13,Software Developer,EV-Dynamic Sdn Bhd,Putra Heights,"RM 2,700 - RM 4,000 a month","Troubleshooting, debugging, and fixing errors, improve the performance or upgrade interfaces.
Responsible to produce clean and efficient code based on…"
14,Flutter Developer,Hays,Malaysia,"RM 8,000 a month","In this team, you will be working closely with the developers, Project Managers, Solution Architect and other members of the project team."
15,Flutter Developr,EPS Malaysia,Kuala Lumpur,"RM 4,000 a month","Focusing on the on developing business application in web technology, such as Website designing, customization, graphic design, web promotion, IT consultancy."
16,Mobile Application Developer,Tribeans Solutions,Cyberjaya,"RM 3,000 - RM 3,500 a month","Feasibility of new functionalities through capabilities of current flutter technology.
Translate UI / UX designs into high quality code."
17,Web Front-End / Mobile Application Developer (Flutter),atQuest Solutions,Kuala Lumpur,,"Creates next generation mobile application for iOS and Android devices.
Responsible for the development, testing, release and support of the application’s…"
18,Full Time Back End Developer,Startups,Malaysia,,"Php | laravel | mysql | css | html | html5.
Providing full range digital services (online marketing, web hosting, mobile application development, web…"
19,Web & Mobile Developer,Softoya International Sdn Bhd,Teluk Panglima Garang,"RM 2,000 - RM 3,000 a month","Programming : Java / Ajax / Jquery / HTML5 / PHP / Javascript / AngularJS / CSS / Ruby on Rail.
Framework : IONIC, Flutter, React Native, Android Studio, XCode."
20,Software Engineer,"ETA HOLDINGS CO., LTD",Malaysia,,"Develops information systems by designing, developing, and installing software solutions.
Determines operational feasibility by evaluating analysis, problem…"
21,Mobile App Developer,Marvel Media Sdn Bhd,Jelutong,,"Take ownership of the entire application lifecycle (concept, design, test, release and support).
Continuously research, evaluate and adapt new mobile…"
