,title,company,salary,description
0,Flutter Developer,UP DEVLABS SDN BHD,"RM 4,000 - RM 4,999 a month",Job Description: • Design and develop state of the art highly interactive and rich animation experience for mobile using Flutter.
1,Flutter/Dart App Developer ( all levels),Ukuya Sdn Bhd,"RM 2,500 - RM 2,999 a month","Candidates will be responsible for the development through business, engineering, and scientific problems using well-defined methods, procedures, and programs…"
2,Mobile App Developer (iOS/Android/Flutter),TOURPLUS TECHNOLOGY SDN BHD,"RM 5,000 - RM 5,999 a month","Developing mobile app for customer and provider app, to develop and maintain mobile app performance and improve functionality of the mobile app."
3,Flutter Mobile App Developer,Applify Technologies Sdn Bhd,"RM 3,500 - RM 4,900 a month","Develop flutter application using Dart (Required).
Architect, design, develop, and maintain Flutter applications.
Integrate various APIs from third parties."
4,Mobile App Developer (Flutter),BIZ Trading & Total Cad Solution SDN. BHD.,"RM 6,000 - RM 7,999 a month",We’re Biz Trading and Total CAD Solutions SDN BHD looking for someone who has talent in mobile app developer who has a good command on single code base…
5,Flutter Developer,Agensi Pekerjaan EPS Consultants Sdn Bhd,,"Design and develop high-volume, low-latency applications for mission-critical systems, delivering high-availability and performance."
6,Mobile Application Developer (Flutter) - Can start immediate...,GME Technical Services Sdn Bhd,"RM 3,000 - RM 5,000 a month","Participate in deployment of system including user requirement scoping, design, coding, testing and implementation.
Maintain and support the existing system."
7,Flutter Mobile App Developer,Ultranet Technologies Sdn Bhd,"RM 3,500 - RM 4,900 a month","Develop flutter application using Dart (Required).
Integrate mobile applications with backend RESTful services.
Work with outside data sources and APIs."
8,Web / App Developer (Internship),Saratix,"RM 800 - RM 1,000 a month","Python coding language (open source coding that can be used for Artificial Intelligence and Machine Learning).
Familiarity in AWS / Google Colab."
9,Flutter Mobile Engineer,ALPHAPOD SDN BHD,,"Build new features by working closely with product managers and designers.
Integrate apps with backend systems and APIs."
10,Mobile Application Developer (Flutter),GME Technical Services Sdn Bhd,"RM 3,000 - RM 5,000 a month","Participate in deployment of system including user requirement scoping, design, coding, testing and implementation.
Maintain and support the existing system."
11,Flutter Developer,Brandt International Sdn Bhd,"RM 6,000 a month",Develop state of the art highly interactive and rich animation experience for mobile and desktop app using Flutter.
12,IT Intern,BestWeb Technologies Sdn Bhd,,"Support the Operation team in maintaining support ticketing system.
Assist with troubleshooting issues and provide technical support."
13,Internship for Mobile App Developer (Flutter),GTrade Technology Sdn Bhd,,"Design and develop state of the art highly interactive and rich animation experience for mobile using Flutter.
Job Types: Full-time, Internship."
14,Junior Programmer,De Metrology Sdn. Bhd.,"RM 2,000 - RM 2,500 a month","You will be working on full stack web system and mobile application development.
Study for Software Engineering Major.
Experience on MySQL database server."
15,Flutter Developer,Snappymob,"RM 5,500 - RM 7,500 a month","Architect, design, develop, and maintain Flutter applications.
Collaborate with the engineering team at large in software design sessions, code reviews,…"
16,Junior Programmer,DE METROLOGY SDN BHD,,"You will be working on full stack web system and mobile application development.
Requirement: - Study for Software Engineering Major - Working experience on…"
17,Site Reliability Engineer,BIGPAY MALAYSIA SDN BHD,"RM 10,000 - RM 12,999 a month","When incidents occur, you will be on the front line of investigation and remediation and direct action from our backend, devops and other teams."
18,IT Support,Lapasar.com,"RM 2,000 - RM 4,000 a month","To perform enhancement and defect fixing at the code level.
To work closely with internal and external users to understand their needs & issues."
19,Mobile Developer,Unijaya Resources Sdn. Bhd.,"RM 2,500 - RM 2,999 a month","Required Skill(s): Ionic, flutter, PHP, Laravel, Angular JS, Vue JS, React Preferably Junior Executive specialized in IT/Computer - Software or equivalent."
20,Laravel Developer,SWM Solutions Sdn Bhd,"RM 3,500 - RM 3,999 a month","Analyze functional requirements, perform conceptual design and development of new software systems or enhancement to existing software systems."
21,Web Developer,DT Mobisoft Sdn Bhd,"RM 4,000 - RM 4,999 a month","The company was initially founded in 2011 to build & sell mobile softwares.
Technical support for DingTalk® Mobile app is also provided to the local companies…"
22,Flutter Mobile App Developer,BestWeb Technologies Sdn Bhd,"RM 2,500 - RM 5,000 a month","Develop flutter application using Dart (Required).
Integrate mobile applications with backend RESTful services.
Work with outside data sources and APIs."
23,.NET Developer,AFIC Solutions,"RM 3,000 - RM 8,000 a month","Mobile* : Flutter, BLOC, Micro-service implementation.
Database* : SQL (Microsoft SQL Server / MySQL Server); Excellent knowledge of Relational Databases."
24,WEB & MOBILE APP DEVELOPER,AGENSI PEKERJAAN HUNTERS SEARCH SDN. BHD.,"RM 4,000 - RM 4,999 a month","Requirements : • Minimum Bachelor’s Degree in Computer Science/Computer Engineering or equivalent.
Proficiency in web frontend development and cross-platform…"
25,Web Front-End / Mobile Application Developer (Flutter),atQuest Solutions,,"Creates next generation mobile application for iOS and Android devices.
Responsible for the development, testing, release and support of the application’s…"
26,Junior/Senior Flutter Mobile Developer,vimigo,"RM 3,000 - RM 9,000 a month","Free flow snacks, biscuits, coffee, beverages and soft drinks.
Responsible for design, development, maintenance and enhancements of the in-house and customer…"
27,Full-Stack Developer,AFIC Solutions,"RM 3,000 - RM 8,000 a month","Mobile: *Flutter, BLOC, Micro-service implementation.
Database: *SQL (Microsoft SQL Server / MySQL Server);
Good knowledge of Relational Databases."
28,Software Application Developer,THESTORY BERHAD,"RM 3,000 - RM 3,499 a month","Develop innovative, reusable tools for a better product anticipating the robustness to accept possible changes Communicate effectively for any progress of the…"
29,INTERNSHIP - SOFTWARE / SYSTEM ANALYST,Sigma Rectrix Systems (M) Sdn Bhd,,Software research and development for Enterprise Resource Planning (ERP) in mobile applications system built using the latest open-source technologies.
30,Web Developer,BBCSB,"RM 4,000 - RM 8,000 a month","Bachelor’s degree in computer programming, computer science, or related field, or equivalent practical experience for at least 3 years."
31,IT Frontend Developer,ONG&ONG 360 Consultancy Sdn Bhd,"RM 4,000 - RM 4,999 a month","Develop and integrate cross platform mobile application.
Ensure the technical feasibility of UI/UX designs.
Build reusable code and libraries for future use."
32,Mobile App Developer (Android/iOS/Flutter),Times Consult,"RM 4,500 - RM 7,500 a month","Support the entire application lifecycle (concept, design, test, release and support).
Understand client requirements and how they translate in application…"
33,Hybrid App Developers,Robomy Sdn Bhd,,"Design and Build sophisticated and highly scalable apps using Flutter/React native / Cordova and.
Build custom packages in Flutter / React/ Cordova using the…"
34,Junior Software Engineer,Auronex Sdn Bhd,"RM 3,000 - RM 3,499 a month",How old are you -What languages you code at the moment -How many years of working experience Our Tech Stacks: -NodeJS (ExpressJS) / Python(DJango) / Go /…
35,Frontend Developer,Esyms Sdn. Bhd.,"RM 6,000 - RM 7,999 a month","Build reusable code and libraries for various projects.
Collaborate with other developers, designers, and architects to meet application requirements and…"
36,IT Support Engineer,Ninja Van,,"Maintain and proactively improve the IT infrastructure of the company to avoid disruptions to operations.
Support and administer third party software and SaaS…"
37,Flutter Developer,EPS Malaysia,,"Design and develop high-volume, low-latency applications for mission-critical systems, delivering high-availability and performance."
38,Programmer,Brighten Business Consulting Sdn Bhd,"RM 3,000 - RM 8,000 a month","Developing and managing well-functioning databases and applications.
Developing front-end website architecture with appealing visual design."
39,Lead QA,Scout Sparrow Consulting sdn bhd,"RM 15,000 a month","The Lead QA is responsible for test automation for the Carsome Tech and will be working in a high intensity, deadline driven environment."
