,title,company,salary,description
0,Flutter/Dart App Developer ( all levels),Ukuya Sdn Bhd,"RM 2,500 - RM 2,999 a month","Candidates will be responsible for the development through business, engineering, and scientific problems using well-defined methods, procedures, and programs…"
1,Junior Flutter Developer,ADVISORY APPS SDN BHD,"RM 4,000 - RM 4,999 a month","Test and resolve bug issues.
Ensure app works across multiple devices.
Collaborate with cross-functional teams to define, design and ship new features."
2,Flutter Developer,UP DEVLABS SDN BHD,"RM 4,000 - RM 4,999 a month",Job Description: • Design and develop state of the art highly interactive and rich animation experience for mobile using Flutter.
3,Assistant Project Manager,CT Software Solutions SDN.BHD,"RM 10,000 - RM 12,000 a month","Assists project manager to ensure that project is delivered within the set budget and timeline.
Maintain good relationship and rapport with client at all times."
4,Mobile App Developer (Android/iOS/Flutter),Times Consult,"RM 4,500 - RM 7,500 a month","Support the entire application lifecycle (concept, design, test, release and support).
Understand client requirements and how they translate in application…"
5,Flutter Mobile App Developer,Ultranet Technologies Sdn Bhd,"RM 3,500 - RM 4,900 a month","Develop flutter application using Dart (Required).
Integrate mobile applications with backend RESTful services.
Work with outside data sources and APIs."
6,Flutter Mobile App Developer,Applify Technologies Sdn Bhd,"RM 3,500 - RM 4,900 a month","Develop flutter application using Dart (Required).
Architect, design, develop, and maintain Flutter applications.
Integrate various APIs from third parties."
7,Software Developer (Junior Executives/Fresh Graduates),WELORY SOLUTION PLT,"RM 3,000 - RM 3,500 a month","Develop, enhance and test customised software and mobile apps to meet the requirements.
Participates in the entire software development cycle."
8,IT Intern,BestWeb Technologies Sdn Bhd,,"Support the Operation team in maintaining support ticketing system.
Assist with troubleshooting issues and provide technical support."
9,Flutter Engineer,Bjak Sdn Bhd,"RM 4,000 - RM 12,000 a month","Bjak is focused on providing access to affordable and sustainable financial services for people in ASEAN.
Incorporate user feedback to improve software design…"
10,Internship for Mobile App Developer (Flutter),GTrade Technology Sdn Bhd,,"Design and develop state of the art highly interactive and rich animation experience for mobile using Flutter.
Job Types: Full-time, Internship."
11,Flutter Developer,Brandt International Sdn Bhd,"RM 6,000 a month",Develop state of the art highly interactive and rich animation experience for mobile and desktop app using Flutter.
12,WEB & MOBILE APP DEVELOPER,AGENSI PEKERJAAN HUNTERS SEARCH SDN. BHD.,"RM 4,000 - RM 4,999 a month","Requirements : • Minimum Bachelor’s Degree in Computer Science/Computer Engineering or equivalent.
Proficiency in web frontend development and cross-platform…"
13,Mobile Developer,Unijaya Resources Sdn. Bhd.,"RM 2,500 - RM 2,999 a month","Required Skill(s): Ionic, flutter, PHP, Laravel, Angular JS, Vue JS, React Preferably Junior Executive specialized in IT/Computer - Software or equivalent."
14,Junior Software Engineer,EBOSS INNOVATION SDN BHD,"RM 2,500 - RM 3,800 a month","A diploma or bachelor’s degree in Software Engineering, Computer Science or equivalent.
Sufficient understanding of HTML/CSS, Javascript, Flutter, C#, SQL…"
15,Flutter Developer,Snappymob,"RM 5,500 - RM 7,500 a month","Architect, design, develop, and maintain Flutter applications.
Collaborate with the engineering team at large in software design sessions, code reviews,…"
16,Mobile Application Developer ( Flutter),E-INFOMEDIA SOLUTIONS SDN BHD,"RM 6,000 - RM 7,999 a month","Work in cross-functional teams with project managers, designers and business stakeholders to ship mobile application on-quality and on-time."
17,Site Reliability Engineer,BIGPAY MALAYSIA SDN BHD,"RM 10,000 - RM 12,999 a month","When incidents occur, you will be on the front line of investigation and remediation and direct action from our backend, devops and other teams."
18,Mobile Application Developer (Flutter),GME Technical Services Sdn Bhd,"RM 3,000 - RM 5,000 a month","Participate in deployment of system including user requirement scoping, design, coding, testing and implementation.
Maintain and support the existing system."
19,IT Support,Lapasar.com,"RM 2,000 - RM 4,000 a month","To perform enhancement and defect fixing at the code level.
To work closely with internal and external users to understand their needs & issues."
20,Flutter Mobile Engineer,ALPHAPOD SDN BHD,,"Build new features by working closely with product managers and designers.
Integrate apps with backend systems and APIs."
21,Junior Software Engineer,Auronex Sdn Bhd,"RM 3,000 - RM 3,499 a month",How old are you -What languages you code at the moment -How many years of working experience Our Tech Stacks: -NodeJS (ExpressJS) / Python(DJango) / Go /…
22,Frontend Developer,Esyms Sdn. Bhd.,"RM 6,000 - RM 7,999 a month","Build reusable code and libraries for various projects.
Collaborate with other developers, designers, and architects to meet application requirements and…"
23,"Senior Software Engineer, Flutter",Bjak Sdn Bhd,"RM 8,000 - RM 20,000 a month","Bjak is focused on providing access to affordable and sustainable financial services for people in ASEAN.
Incorporate user feedback to improve software design…"
24,Web Front-End / Mobile Application Developer (Flutter),atQuest Solutions,,"Creates next generation mobile application for iOS and Android devices.
Responsible for the development, testing, release and support of the application’s…"
25,INTERNSHIP - SOFTWARE / SYSTEM ANALYST,Sigma Rectrix Systems (M) Sdn Bhd,,Software research and development for Enterprise Resource Planning (ERP) in mobile applications system built using the latest open-source technologies.
26,Flutter Mobile App Developer,BestWeb Technologies Sdn Bhd,"RM 2,500 - RM 5,000 a month","Develop flutter application using Dart (Required).
Integrate mobile applications with backend RESTful services.
Work with outside data sources and APIs."
27,Backend Developer,Esyms Sdn. Bhd.,"RM 6,000 - RM 7,999 a month","Be involved in the entire product development process from conception, design, coding (back-end code, RESTful APIs, web apps), testing and deployment."
28,3D/Web GL Developer,Brandt International Sdn Bhd,"RM 7,000 a month","Design to scale from phones to tablets to desktop monitors.
Create AI-powered interactive 3D assets using WebGL, three.js or new web 3d framework/library."
29,Programmer,Brighten Business Consulting Sdn Bhd,"RM 3,000 - RM 8,000 a month","Developing and managing well-functioning databases and applications.
Developing front-end website architecture with appealing visual design."
30,Software Engineer/ Developer,IME Group of Companies,"RM 2,800 a month",Carry out software programming and coding for Enterprise/Business Solutions according to specifications within specified timeline.
31,Programmer,Brighten Business Consulting Sdn Bhd,"RM 3,000 - RM 8,000 a month","Developing and managing well-functioning databases and applications.
Developing front-end website architecture with appealing visual design."
32,Flutter Developer,EPS Malaysia,,"Design and develop high-volume, low-latency applications for mission-critical systems, delivering high-availability and performance."
33,IT Support Engineer,Ninja Van,,"Maintain and proactively improve the IT infrastructure of the company to avoid disruptions to operations.
Support and administer third party software and SaaS…"
34,Mobile App Developer,Original Intelligence Sdn Bhd,"RM 4,000 - RM 6,000 a month","Develop, maintain, enhance and test mobile applications.
Maintain companyʼs IT infrastructure.
Provide technical support for software, hardware and network…"
35,Mobile App Developer Intern,Tinkerve LLP,RM 500 - RM 800 a week,"The role works collaboratively with Business Analysts, Backend developers and release management to develop new and exciting mobile applications."
36,Software Developer,PM101 Consulting,"RM 4,000 - RM 7,000 a month","Assists project manager to ensure that project is delivered within the set budget and timeline.
Maintain good relationship and rapport with client at all times."
37,Full Stack Programmer,BCDE Digital Limited,"RM 3,000 - RM 7,500 a month","Developing and managing well-functioning databases and applications.
Developing front-end website architecture with appealing visual design."
38,Flutter Developer,Hays,"RM 8,000 a month","In this team, you will be working closely with the developers, Project Managers, Solution Architect and other members of the project team."
39,Customer Support,Ejen2u International Sdn Bhd,"RM 2,000 - RM 3,700 a month","Knowing some php, mysql, flutter and/or laravel is a plus.
Troubleshoot and respond to client based on the ticket assigned.
In house IT support issue."
40,Junior/Senior Flutter Mobile Developer,vimigo,"RM 3,000 - RM 9,000 a month","Free flow snacks, biscuits, coffee, beverages and soft drinks.
Responsible for design, development, maintenance and enhancements of the in-house and customer…"
41,Software Engineer,Wemabox Solutions Sdn. Bhd.,"RM 3,000 - RM 3,499 a month","Job Description Software Engineer is responsible to design and implement system, feature, and solutions business needs."
42,Senior Software Engineer (Flutter),AirAsia,"RM 8,500 - RM 15,000 a month","Create multi-platform apps for iOS/Android using Flutter Development Framework.
Micro code enhancements within mobile platforms like android/iOS Flutter widgets…"
43,Web Developer,BBCSB,"RM 4,000 - RM 8,000 a month","Bachelor’s degree in computer programming, computer science, or related field, or equivalent practical experience for at least 3 years."
44,Web Programmer,La La La Wine & Marketing,"RM 4,000 - RM 8,500 a month","Developing front-end website architecture with appealing visual design.
Developing and managing well-functioning databases and applications."
45,Mobile App Developer Intern,Tinkerve LLP,RM 500 - RM 800 a week,"The role works collaboratively with Business Analysts, Backend developers and release management to develop new and exciting mobile applications."
46,Flutter Developer,Hays,"RM 8,000 a month","In this team, you will be working closely with the developers, Project Managers, Solution Architect and other members of the project team."
47,Mobile Developer,Techtiera,"RM 2,873 - RM 10,161 a month",We’re looking for creative and dynamic teammates to join us building high performing mobile applications on Android and iOS using latest mobile development…
48,Senior Android Developer(China Market),Myhrsource Sdn Bhd,"RM 22,500 - RM 29,000 a month","According to business needs, develop programs based on the Android platform;
Able to complete key technology verification and model selection;"
49,Software Engineer,Wemabox Solutions Sdn. Bhd.,"RM 3,000 - RM 3,499 a month","Job Description Software Engineer is responsible to design and implement system, feature, and solutions business needs."
50,Jr. Mobile Developer,Fastrexs (M) Sdn Bhd,,To deliver software for research projects under mobile unit -work closely with the team to deliver excellent outcome -to support product management in creating…
