,title,company,location,salary,description
0,Mobile Application Developer - Behavioral Health,Empathic,Kuala Lumpur•Remote,"RM 4,000 - RM 5,000 a month","Support the entire application lifecycle (concept, design, test, release and support).
Produce fully functional mobile applications writing clean code."
1,Software Developer,Allstaff sdn bhd,Bayan Lepas,"RM 3,500 - RM 4,000 a month","Diploma/ Degree in Computer Science, Computer Programming or related field.
At least 1 year working experience in related field."
2,Software Developer,EV-Dynamic Sdn Bhd,Putra Heights,"RM 2,700 - RM 4,000 a month","Troubleshooting, debugging, and fixing errors, improve the performance or upgrade interfaces.
Responsible to produce clean and efficient code based on…"
3,Mobile Apps Developer (IOS/ Android/ Flutter),IY Staffing Group,Klang,"RM 3,000 - RM 5,000 a month","This is a full time permanent position.
Medical Claims, Medical Insurance, Medical Leaves, Annual Leaves, Monthly Allowances, Annual Bonus, Company Trips and…"
4,Flutter Developer,Brandt International Sdn Bhd,Kuala Lumpur,"RM 6,000 a month",Develop state of the art highly interactive and rich animation experience for mobile and desktop app using Flutter.
5,Internship for Front End Developer,Startups,Malaysia,,"Bonus : Familiar with frontend framework like vuejs, flutter, reactjs, reactnative etc.
Good at HTML,PHP,CSS ,JavaScript and MySQL."
6,MOBILE DEVELOPER,The eCEOS Sdn Bhd,Kuala Lumpur,"RM 6,000 - RM 9,000 a month","A Mobile developer who is able to do application coding, testing, debugging, documenting and monitoring.
As part of agile team, involvement also includes user…"
7,Software Developer Mobile App Intern,DeltaFrontier,Kuala Lumpur•Temporarily Remote,RM 600 - RM 750 a month,"Design and build Android and iOS mobile applications.
Work closely with design, product management, and development teams to analyse, design, and ship new…"
8,Mobile Application Developer,Tribeans Solutions,Cyberjaya,"RM 3,000 - RM 3,500 a month","Feasibility of new functionalities through capabilities of current flutter technology.
Translate UI / UX designs into high quality code."
9,Software Developer,Pingspace Sdn. Bhd.,Bayan Lepas•Temporarily Remote,"RM 3,500 a month","Our Software Developers work on a range of problems: from the backend (designing database, designing operation optimization algorithms, designing communication…"
10,Mobile Developer (Flutter),Hays,Malaysia,,"You will be working with a team to develop and maintain high quality mobile applications.
You will design, develop, and improvise mobile applications using…"
11,Mobile App Developer,QuickDesk,Malaysia,,"You will be working on our mobile applications (iOS and/or Android);
Develop user-facing features for the mobile applications;"
12,Flutter Mobile Engineer,Techtiera,Kuala Lumpur,"RM 2,977 - RM 10,358 a month","Build new and key features for Setel on our Flutter codebase by working closely with the Product Managers, design teams and backend team."
13,Software Engineer,"ETA HOLDINGS CO., LTD",Malaysia,,"Develops information systems by designing, developing, and installing software solutions.
Determines operational feasibility by evaluating analysis, problem…"
14,Flutter Developer,Brand International,Kuala Lumpur,"RM 4,000 - RM 6,000 a month",Develop state of the art highly interactive and rich animation experience for mobile and desktop app using Flutter.
15,IT Application Developer,DreamHunters,Kuala Lumpur•Remote,"RM 800 - RM 1,300 a month","Familiar with Flutter and Laravel.
Diploma/Bachelor’s Degree in I.T. or similar field of study.
Familiar with Flutter and Laravel."
16,Web & Mobile Developer,Softoya International Sdn Bhd,Teluk Panglima Garang,"RM 2,000 - RM 3,000 a month","Programming : Java / Ajax / Jquery / HTML5 / PHP / Javascript / AngularJS / CSS / Ruby on Rail.
Framework : IONIC, Flutter, React Native, Android Studio, XCode."
17,Web Front-End / Mobile Application Developer (Flutter),atQuest Solutions,Kuala Lumpur,,"Creates next generation mobile application for iOS and Android devices.
Responsible for the development, testing, release and support of the application’s…"
18,Mobile App Developer,Marvel Media Sdn Bhd,Jelutong,,"Take ownership of the entire application lifecycle (concept, design, test, release and support).
Continuously research, evaluate and adapt new mobile…"
19,INTERNSHIP-Full time Programmer to develop Websites and Apps,AQ Wise Sdn Bhd,Shah Alam•Remote,,"INTERNSHIP- Full time Programmer to develop Websites and Apps.
Acquire Flutter programming skill or Willing to learn Flutter intensively."
