,title,company,location,salary,description
0,Software Developer Team Lead (Mobile Application),MYFIRST TECH SDN BHD,Johor Bahru•Temporarily Remote,"RM 8,000 - RM 15,000 a month","We develop various Kids tech products.
This position is the Software Lead to manage a team to develop and maintain the mobile application, server application…"
1,Mobile Application Developer - Behavioral Health,Empathic,Kuala Lumpur•Remote,"RM 4,000 - RM 5,000 a month","Support the entire application lifecycle (concept, design, test, release and support).
Produce fully functional mobile applications writing clean code."
2,Mobile Software Engineer (Android) - Leading Technology MNC,Michael Page,Malaysia,,"Global MNC with flexible and dynamic culture.
Apply next level mobile engineering practices.
Ensure the integration between propriety and 3rd party hardware…"
3,MOBILE DEVELOPER,The eCEOS Sdn Bhd,Kuala Lumpur,"RM 6,000 - RM 9,000 a month","A Mobile developer who is able to do application coding, testing, debugging, documenting and monitoring.
As part of agile team, involvement also includes user…"
4,Mobile Application Developer - Behavioral Health,Empathic,Kuala Lumpur•Remote,"RM 4,000 - RM 5,000 a month","Support the entire application lifecycle (concept, design, test, release and support).
Produce fully functional mobile applications writing clean code."
5,Flutter Developer,Brandt International Sdn Bhd,Kuala Lumpur,"RM 6,000 a month",Develop state of the art highly interactive and rich animation experience for mobile and desktop app using Flutter.
6,Flutter Mobile Engineer,Techtiera,Kuala Lumpur,"RM 2,977 - RM 10,358 a month","Build new and key features for Setel on our Flutter codebase by working closely with the Product Managers, design teams and backend team."
7,Web Front-End / Mobile Application Developer (Flutter),atQuest Solutions,Kuala Lumpur,,"Creates next generation mobile application for iOS and Android devices.
Responsible for the development, testing, release and support of the application’s…"
8,Mobile App Developer,QuickDesk,Malaysia,,"You will be working on our mobile applications (iOS and/or Android);
Develop user-facing features for the mobile applications;"
9,IT Application Developer,DreamHunters,Kuala Lumpur•Remote,"RM 800 - RM 1,300 a month","Familiar with Flutter and Laravel.
Diploma/Bachelor’s Degree in I.T. or similar field of study.
Familiar with Flutter and Laravel."
10,Full Time Back End Developer,Startups,Malaysia,,"Php | laravel | mysql | css | html | html5.
Providing full range digital services (online marketing, web hosting, mobile application development, web…"
11,Mobile Developer (Flutter),Hays,Malaysia,,"You will be working with a team to develop and maintain high quality mobile applications.
You will design, develop, and improvise mobile applications using…"
12,Internship for Front End Developer,Startups,Malaysia,,"Bonus : Familiar with frontend framework like vuejs, flutter, reactjs, reactnative etc.
Good at HTML,PHP,CSS ,JavaScript and MySQL."
13,Software Developer,MAXUNITY TECHNOLOGY SDN BHD,Puchong,"RM 3,000 - RM 5,000 a month","Candidate must possess at least Diploma/Advanced/Higher/Graduate Diploma, Bachelor's Degree/Post-Graduate Diploma/Professional Degree in Engineering (Computer…"
