,title,company,salary,description
0,Junior Flutter Developer,ADVISORY APPS SDN BHD,"RM 3,500 - RM 3,999 a month","Test and resolve bug issues.
Ensure app works across multiple devices.
Collaborate with cross-functional teams to define, design and ship new features."
1,Flutter Developer,Nezda Technologies (Malaysia),"RM 3,000 - RM 5,000 a month",Develop state of the art highly interactive and rich animation experience for mobile and desktop app using Flutter.
2,IT Support,Lapasar.com,"RM 2,000 - RM 4,000 a month","To perform enhancement and defect fixing at the code level.
To work closely with internal and external users to understand their needs & issues."
3,Flutter Developer,Idw design & build sdn bhd,"RM 3,500 a month","At least 1 year worth of industry experience as Full Stack Developer or similar role in a production environment.
Familiarity with limitations of Node."
4,IT Intern,BestWeb Technologies Sdn Bhd,,"Support the Operation team in maintaining support ticketing system.
Assist with troubleshooting issues and provide technical support."
5,Junior Programmer,De Metrology Sdn. Bhd.,"RM 2,000 - RM 2,500 a month","You will be working on full stack web system and mobile application development.
Study for Software Engineering Major.
Experience on MySQL database server."
6,Mobile App Developer (Flutter),BIZ Trading & Total Cad Solution SDN. BHD.,"RM 6,000 - RM 7,999 a month",We’re Biz Trading and Total CAD Solutions SDN BHD looking for someone who has talent in mobile app developer who has a good command on single code base…
7,Software Analyst ( Web & Mobile Development Project ),FIREWORKS SOLUTIONS SDN BHD,"RM 4,000 - RM 6,000 a month","Detailed and able to do proper documentation.
Project Which you will be working on.
Loyalty Solutions with Marketing Tech.
We track time and pay by time based."
8,Web / App Developer (Internship),Saratix,"RM 800 - RM 1,000 a month","Python coding language (open source coding that can be used for Artificial Intelligence and Machine Learning).
Familiarity in AWS / Google Colab."
9,Flutter Developer (Intern),Webby Sdn Bhd,"RM 500 - RM 1,000 a week","Architect, build and maintain excellent Flutter applications with clean code.
Implement pixel perfect UI's that match designs.
Integrate third-party API's."
10,Flutter Developer,Brandt International Sdn Bhd,"RM 6,000 a month",Develop state of the art highly interactive and rich animation experience for mobile and desktop app using Flutter.
11,Fullstack Developer,Auronex Sdn Bhd,"RM 3,000 - RM 3,499 a month",How old are you -What languages you code at the moment -How many years of working experience Our Tech Stacks: -NodeJS (ExpressJS) / Python(DJango) / Go /…
12,Flutter Mobile App Developer,BestWeb Technologies Sdn Bhd,"RM 2,500 - RM 5,000 a month","Develop flutter application using Dart (Required).
Integrate mobile applications with backend RESTful services.
Work with outside data sources and APIs."
13,Flutter Developer,Artisan IT Solution Sdn Bhd,,"Support the entire application lifecycle (concept, design, test, release and support).
Develop fully functional mobile applications writing clean code."
14,Mobile App Developer (iOS/Android/Flutter),TOURPLUS TECHNOLOGY SDN BHD,"RM 5,000 - RM 5,999 a month","Developing mobile app for customer and provider app, to develop and maintain mobile app performance and improve functionality of the mobile app."
15,Mobile Web Developer,JobsJK PLT,"RM 4,000 - RM 4,999 a month","Reporting to the Team Leader, your responsibilities would be to: • Work as part of the team to meet project targets and quality objectives • Development of…"
16,Web Developer,BBCSB,"RM 4,000 - RM 8,000 a month","Bachelor’s degree in computer programming, computer science, or related field, or equivalent practical experience for at least 3 years."
17,Full Stack Programmer,BCDE Digital Limited,"RM 3,000 - RM 7,500 a month","Developing and managing well-functioning databases and applications.
Developing front-end website architecture with appealing visual design."
18,Mobile Developer,Unijaya Resources Sdn. Bhd.,"RM 2,500 - RM 2,999 a month","Required Skill(s): Ionic, flutter, PHP, Laravel, Angular JS, Vue JS, React Preferably Junior Executive specialized in IT/Computer - Software or equivalent."
19,Flutter Developer,Snappymob,"RM 5,500 - RM 7,500 a month","Architect, design, develop, and maintain Flutter applications.
Collaborate with the engineering team at large in software design sessions, code reviews,…"
20,Web Front-End / Mobile Application Developer (Flutter),atQuest Solutions,,"Creates next generation mobile application for iOS and Android devices.
Responsible for the development, testing, release and support of the application’s…"
21,Lead QA,Scout Sparrow Consulting sdn bhd,"RM 15,000 a month","The Lead QA is responsible for test automation for the Carsome Tech and will be working in a high intensity, deadline driven environment."
22,UI/UX Designer,Times Consult,"RM 4,000 - RM 5,000 a month","Gather and evaluate user requirements in collaboration with product managers and engineers.
Illustrate design ideas using storyboards, process flows and…"
23,Mobile App Developer,Original Intelligence Sdn Bhd,"RM 4,000 - RM 6,000 a month","Develop, maintain, enhance and test mobile applications.
Maintain companyʼs IT infrastructure.
Provide technical support for software, hardware and network…"
24,Software Engineer/ Developer,IME Group of Companies,"RM 2,800 a month",Carry out software programming and coding for Enterprise/Business Solutions according to specifications within specified timeline.
25,WEB & MOBILE APP DEVELOPER,AGENSI PEKERJAAN HUNTERS SEARCH SDN. BHD.,"RM 4,000 - RM 4,999 a month","Requirements : • Minimum Bachelor’s Degree in Computer Science/Computer Engineering or equivalent.
Proficiency in web frontend development and cross-platform…"
26,Mobile Application Developer,MSUK Solutions Sdn. Bhd.,"RM 2,000 - RM 2,499 a month","We are looking for: - strong passion in IT products, programming and research of new technologies - commitment to continuous improvement - strong analytical and…"
27,Lead Software Engineer (Flutter),FMH GROUP SDN. BHD.,"RM 10,000 - RM 12,999 a month",Responsibilities include: • Lead a team of mobile engineer • Participate actively in technical planning meetings to ensure technical dependencies are discussed…
28,IT Support Engineer,Ninja Van,,"Maintain and proactively improve the IT infrastructure of the company to avoid disruptions to operations.
Support and administer third party software and SaaS…"
29,Full time Developer/Programmer,CARE Concierge,,"Must know Flutter/Dart 2.0.
Understand how BLoC State Management works in Flutter Framework.
Experience deploying Flutter Apps to Google Playstore & Apple…"
30,Web Developer,DT Mobisoft Sdn Bhd,"RM 4,000 - RM 4,999 a month","The company was initially founded in 2011 to build & sell mobile softwares.
Technical support for DingTalk® Mobile app is also provided to the local companies…"
