,title,company,location,salary,description
0,Mobile App Developer,QuickDesk,Malaysia,,"You will be working on our mobile applications (iOS and/or Android);
Develop user-facing features for the mobile applications;"
1,Flutter Developer,Brandt International Sdn Bhd,Kuala Lumpur,"RM 6,000 a month",Develop state of the art highly interactive and rich animation experience for mobile and desktop app using Flutter.
2,Flutter Mobile Engineer,Techtiera,Kuala Lumpur,"RM 2,977 - RM 10,358 a month","Build new and key features for Setel on our Flutter codebase by working closely with the Product Managers, design teams and backend team."
3,Mobile Apps Developer (IOS/ Android/ Flutter),IY Staffing Group,Klang,"RM 3,000 - RM 5,000 a month","This is a full time permanent position.
Medical Claims, Medical Insurance, Medical Leaves, Annual Leaves, Monthly Allowances, Annual Bonus, Company Trips and…"
4,Junior/Senior Software Tester,vimigo,Kuala Lumpur•Temporarily Remote,"RM 3,000 - RM 6,000 a month","As a Unit Software Tester, you will play an instrumental role in fueling Company’s growth through providing timely solutions to execute all levels of testing …"
5,Mobile Developer (Flutter),Hays,Malaysia,,"You will be working with a team to develop and maintain high quality mobile applications.
You will design, develop, and improvise mobile applications using…"
6,IT Application Developer,DreamHunters,Kuala Lumpur•Remote,"RM 800 - RM 1,300 a month","Familiar with Flutter and Laravel.
Diploma/Bachelor’s Degree in I.T. or similar field of study.
Familiar with Flutter and Laravel."
7,Web Front-End / Mobile Application Developer (Flutter),atQuest Solutions,Kuala Lumpur,,"Creates next generation mobile application for iOS and Android devices.
Responsible for the development, testing, release and support of the application’s…"
8,Mobile App Engineer,EPS Malaysia,George Town,,"Participate in design and developing of mobile user interface.
Liaison and collaborate with Technical Architect for front-end architecture."
9,Software Developer,EV-Dynamic Sdn Bhd,Putra Heights,"RM 2,311 - RM 4,000 a month","Troubleshooting, debugging, and fixing errors, improve the performance or upgrade interfaces.
Responsible to produce clean and efficient code based on…"
10,Software Developer,MAXUNITY TECHNOLOGY SDN BHD,Puchong,"RM 3,000 - RM 5,000 a month","Candidate must possess at least Diploma/Advanced/Higher/Graduate Diploma, Bachelor's Degree/Post-Graduate Diploma/Professional Degree in Engineering (Computer…"
11,Programmer,TBS Solutions Sdn Bhd,Penang,"RM 2,500 - RM 5,000 a month","At least 2 year(s) experiences in WEB or Mobile APPS (either iOS or Android) development.
Candidate must possess at least a Bachelor's Degree, Post Graduate…"
12,Software Developer,Pingspace Sdn. Bhd.,Bayan Lepas•Temporarily Remote,"RM 3,500 a month","Our Software Developers work on a range of problems: from the backend (designing database, designing operation optimization algorithms, designing communication…"
