,title,company,salary,description
0,Internship for Computer IT (Web Programmer),Dideta Multitech Sdn Bhd,"RM 1,200 a month",Testing and de-bugging to make sure our platform runs smoothly Data processing and analysis Exposure to cloud technologies Requirements: Candidate must possess…
1,Flutter Developer,Brandt International Sdn Bhd,"RM 6,000 a month",Develop state of the art highly interactive and rich animation experience for mobile and desktop app using Flutter.
2,Account Executive (Digital Media Project),Nuren Group,,"You will play the account management role in handling our advertiser's digital media projects & campaigns.
You are responsible for managing the flow of work for…"
3,Associate/Senior Mobile Engineer (Flutter),Astro Holdings,,"The role will build, enhance and monitor mobile apps of ASTRO digital products, in a team that is focused on quality and security of mobile apps."
4,Mobile App Developer,QuickDesk,,"You will be working on our mobile applications (iOS and/or Android);
Develop user-facing features for the mobile applications;"
5,Wordpress & Mobile App Developer,Advance Plus Property Management Sdn Bhd,"RM 3,000 - RM 3,499 a month","Job Scopes: - Develop and maintain websites and web-based application with WordPress, WooCommerce & CMS - Designing, integrating, upgrading and maintaining the…"
6,Flutter Junior Programmer,XEERSOFT SDN BHD,,"Design & implement new app modules based on the product requirements using Flutter framework.
Build reusable code and libraries for future use."
7,INTERNSHIP-Full time Programmer to develop Websites and Apps,AQ Wise Sdn Bhd,,"INTERNSHIP- Full time Programmer to develop Websites and Apps.
Acquire Flutter programming skill or Willing to learn Flutter intensively."
8,Software Developer,MAXUNITY TECHNOLOGY SDN BHD,"RM 2,800 - RM 3,000 a month","Candidate must possess at least Diploma/Advanced/Higher/Graduate Diploma, Bachelor's Degree/Post-Graduate Diploma/Professional Degree in Engineering (Computer…"
9,Mobile Developer,Tamarix Onesolutions Sdn Bhd,"RM 4,000 - RM 7,000 a month","✅ Familiar with flutter framework (Added Advantage).
✅ Transform business requirement into mobile apps.
✅ Experienced in IOS and Android Developments."
10,Mobile App Developer (PJ area/Up to 6k/MS SQL),Agensi Pekerjaan Times Management Consultancy Sdn...,"RM 3,000 - RM 6,000 a month","Developing customized solutions for the mobile platform.
Designing, coding, and implementing mobile applications.
Stay up-to-date with new technology trends."
11,Flutter Developer,BEEDUCATION ADVENTURES SDN BHD,,"Within defined quality and performance standards.
Participate throughout the SDLC, including analysis, design, development, testing, integration, deployment and…"
12,Flutter Developer,ACD Development Sdn. Bhd,,"Within defined quality and performance standards.
Participate throughout the SDLC, including analysis, design, development, testing, integration, deployment and…"
13,Unity Developer,Hays,"RM 7,000 - RM 10,000 a month","You would be responsible for developing interactive experiences such as Augmented Reality & Virtual Reality, be it on any platform events, kiosks, mobile,…"
14,Junior Programmer,ZR TECHMOTION SDN BHD,"RM 2,000 - RM 2,500 a month","You will be working on full stack web system and mobile application development.
Study for Software Engineering Major.
Experience on MySQL database server."
15,Software Developer,Skylink Pacific Solutions Sdn Bhd,,"Develop native Android mobile applications and web applications.
Understanding user requirements and provide options for improvised technical solution."
16,Mobile Developer,Agensi Pekerjaan Synopsis Sdn Bnd,,Responsibilities: • Transform business requirement into mobile apps • Develop and maintain mobile application • Able to develop the modules within given…
