,title,company,salary,description
0,Software Engineer,Wemabox Solutions Sdn. Bhd.,"RM 3,000 - RM 3,499 a month","Job Description Software Engineer is responsible to design and implement system, feature, and solutions business needs."
1,Associate/Senior Mobile Engineer (Flutter),Astro Holdings,,"The role will build, enhance and monitor mobile apps of ASTRO digital products, in a team that is focused on quality and security of mobile apps."
2,Flutter Developer,Brandt International Sdn Bhd,"RM 6,000 a month",Develop state of the art highly interactive and rich animation experience for mobile and desktop app using Flutter.
3,Mobile App Developer,QuickDesk,,"You will be working on our mobile applications (iOS and/or Android);
Develop user-facing features for the mobile applications;"
4,Software Developer,MAXUNITY TECHNOLOGY SDN BHD,"RM 2,800 - RM 3,000 a month","Candidate must possess at least Diploma/Advanced/Higher/Graduate Diploma, Bachelor's Degree/Post-Graduate Diploma/Professional Degree in Engineering (Computer…"
5,Flutter Junior Programmer,XEERSOFT SDN BHD,,"Design & implement new app modules based on the product requirements using Flutter framework.
Build reusable code and libraries for future use."
6,INTERNSHIP-Full time Programmer to develop Websites and Apps,AQ Wise Sdn Bhd,,"INTERNSHIP- Full time Programmer to develop Websites and Apps.
Acquire Flutter programming skill or Willing to learn Flutter intensively."
7,Mobile App Developer,Wemabox Solutions Sdn. Bhd.,"RM 3,000 - RM 3,499 a month","Job Description Mobile App Developer is responsible to design and implement system, feature, and solutions business needs."
8,Mobile Developer,Tamarix Onesolutions Sdn Bhd,"RM 4,000 - RM 7,000 a month","✅ Familiar with flutter framework (Added Advantage).
✅ Transform business requirement into mobile apps.
✅ Experienced in IOS and Android Developments."
9,Wordpress & Mobile App Developer,Advance Plus Property Management Sdn Bhd,"RM 3,000 - RM 3,499 a month","Job Scopes: - Develop and maintain websites and web-based application with WordPress, WooCommerce & CMS - Designing, integrating, upgrading and maintaining the…"
10,Mobile Developer,Webpuppies,RM 30 - RM 140 an hour,Webpuppies strives to continuously equip itself with latest digital know-how and paves way for clients and partners to navigate the technology most effectively.
11,Junior Programmer,ZR TECHMOTION SDN BHD,"RM 2,000 - RM 2,500 a month","You will be working on full stack web system and mobile application development.
Study for Software Engineering Major.
Experience on MySQL database server."
12,Unity Developer,Hays,"RM 7,000 - RM 10,000 a month","You would be responsible for developing interactive experiences such as Augmented Reality & Virtual Reality, be it on any platform events, kiosks, mobile,…"
13,Mobile Application Developer,Nss It Solution Sdh Bhd,"RM 6,000 - RM 7,999 a month",Develop mobile Android and iOS applications • Applicant can possess one or more the following skill set: - Develop iOS application using Swift and/or Obj-C -…
14,Mobile Developer,Agensi Pekerjaan Synopsis Sdn Bnd,"RM 4,000 - RM 4,999 a month",Responsibilities: • Transform business requirement into mobile apps • Develop and maintain mobile application • Able to develop the modules within given…
15,Mobile Apps Developer,Agensi Pekerjaan Career Horizons,"RM 10,000 a month","• Transform business requirements into functional mobile apps.
Monitor, optimize and maintain high performance of the application."
16,Junior Programmer,DE METROLOGY SDN BHD,,"You will be working on full stack web system and mobile application development.
Requirement: - Study for Software Engineering Major - Working experience on…"
17,Frontend Engineer,Technerve Technology Solutions Sdn Bhd,"RM 3,000 - RM 3,499 a month","Minimum 2 years experience in HTML, CSS, and Javascript.
Good understanding of responsive design and mobile optimized websites."
18,Mobile App Developer,Todak Culture Sdn. Bhd.,,Translate UI / UX designs into high quality code  Develop new features for mobile applications  Assist and advise on UI / UX design capabilities of current…
19,Software Engineer II,Air Asia,,"The technology center comprises a team of software engineering and technology experts based in Malaysia, Bangalore, and Singapore, who would work to streamline…"
20,Mobile App Developer (PJ area/Up to 6k/MS SQL),Agensi Pekerjaan Times Management Consultancy Sdn...,"RM 3,000 - RM 6,000 a month","Developing customized solutions for the mobile platform.
Designing, coding, and implementing mobile applications.
Stay up-to-date with new technology trends."
21,Mobile Developer (Flutter),Hays,,"You will be working with a team to develop and maintain high quality mobile applications.
You will design, develop, and improvise mobile applications using…"
22,Software Developer,Skylink Pacific Solutions Sdn Bhd,"RM 5,000 - RM 7,000 a month","Develop native Android mobile applications and web applications.
Understanding user requirements and provide options for improvised technical solution."
23,Web Front-End / Mobile Application Developer (Flutter),atQuest Solutions,,"Creates next generation mobile application for iOS and Android devices.
Responsible for the development, testing, release and support of the application’s…"
24,Software Developer,Pingspace Sdn. Bhd.,"RM 3,500 a month","Our Software Developers work on a range of problems: from the backend (designing database, designing operation optimization algorithms, designing communication…"
25,Full Stack Web Application Developer,Agensi Pekerjaan Allstaff Sdn Bhd,"RM 5,000 - RM 5,999 a month",Qualification: • Bachelor's Degree in Computer Science or equivalent Job Scope: • Developing front end website architecture.
26,Software Developer,EV-Dynamic Sdn Bhd,"RM 2,500 - RM 2,700 a month","Troubleshooting, debugging, and fixing errors, improve the performance or upgrade interfaces.
Responsible to produce clean and efficient code based on…"
27,3D/Web GL Developer,Brandt International Sdn Bhd,"RM 7,000 a month","Design to scale from phones to tablets to desktop monitors.
Create AI-powered interactive 3D assets using WebGL, three.js or new web 3d framework/library."
28,Mobile App Developer (Flutter),SOFAX SDN BHD,"RM 5,000 - RM 8,000 a month","Responsible in creating and enhance new features of existing and upcoming project.
Work closely with the project team for in-house application."
29,IT Support Engineer,Ninja Van,,"Maintain and proactively improve the IT infrastructure of the company to avoid disruptions to operations.
Support and administer third party software and SaaS…"
30,Software Engineer - Backend,RF INFINITE SDN BHD,"RM 8,000 a month","Plans, schedules, and directs preparation of programs to process data and solve problems by use of computers: Consults with managerial and systems analysis…"
31,SYSTEM ANALYST PROGRAMMER (Flutter / PHP),GATES IT SOLUTION SDN BHD,,To responsible for production and maintenance of front end and backend of Web with Laravel 2) To complete sprint backlog within the given time.
32,Mobile App Developer,Marvel Media Sdn Bhd,,"Take ownership of the entire application lifecycle (concept, design, test, release and support).
Continuously research, evaluate and adapt new mobile…"
33,Full-Stack Developer,AFIC Solutions,"RM 3,000 - RM 8,000 a month","Mobile: *Flutter, BLOC, Micro-service implementation.
Database: *SQL (Microsoft SQL Server / MySQL Server);
Good knowledge of Relational Databases."
