,title,company,salary,description
0,Snr Flutter Developer,Green Packet International Sdn Bhd,,"Job Responsibilities:

Designs, develops, and provides customization of various…"
1,Flutter Developer,Brandt International Sdn Bhd,,Develop state of the art highly interactive and rich animation experience for mobile and desktop app using Flutter.
2,Wordpress & Mobile App Developer,Advance Plus Property Management Sdn Bhd,,"Job Scopes: - Develop and maintain websites and web-based application with WordPress, WooCommerce & CMS - Designing, integrating, upgrading and maintaining the…"
3,Flutter Developer,Snaphunt,,"The OfferOpportunity within an award-winning people development solutions firmBe involved in developing high-impact products Work in a fast-paced, startup…"
4,Software Engineer,Wemabox Solutions Sdn. Bhd.,,"Job Description Software Engineer is responsible to design and implement system, feature, and solutions business needs."
5,Internship for Computer IT (Web Programmer),Dideta Multitech Sdn Bhd,,Testing and de-bugging to make sure our platform runs smoothly Data processing and analysis Exposure to cloud technologies Requirements: Candidate must possess…
6,Mobile App Developer,QuickDesk,,"You will be working on our mobile applications (iOS and/or Android);
Develop user-facing features for the mobile applications;"
7,Account Executive (Digital Media Project),Nuren Group,,"You will play the account management role in handling our advertiser's digital media projects & campaigns.
You are responsible for managing the flow of work for…"
8,Web Front-End / Mobile Application Developer (Flutter),atQuest Solutions,,"Creates next generation mobile application for iOS and Android devices.
Responsible for the development, testing, release and support of the application’s…"
9,Unity Developer,Hays,,"You would be responsible for developing interactive experiences such as Augmented Reality & Virtual Reality, be it on any platform events, kiosks, mobile,…"
10,Flutter Junior Programmer,XEERSOFT SDN BHD,,"Design & implement new app modules based on the product requirements using Flutter framework.
Build reusable code and libraries for future use."
11,Flutter Developer,BEEDUCATION ADVENTURES SDN BHD,,"Within defined quality and performance standards.
Participate throughout the SDLC, including analysis, design, development, testing, integration, deployment and…"
12,Mobile Developer (Flutter),Hays,,"You will be working with a team to develop and maintain high quality mobile applications.
You will design, develop, and improvise mobile applications using…"
13,Mobile App Developer,Wemabox Solutions Sdn. Bhd.,,"Job Description Mobile App Developer is responsible to design and implement system, feature, and solutions business needs."
14,INTERNSHIP-Full time Programmer to develop Websites and Apps,AQ Wise Sdn Bhd,,"INTERNSHIP- Full time Programmer to develop Websites and Apps.
Acquire Flutter programming skill or Willing to learn Flutter intensively."
15,Software Engineer,Wemabox Solutions Sdn. Bhd.,,"Job Description Software Engineer is responsible to design and implement system, feature, and solutions business needs."
16,Flutter Junior Programmer,XEERSOFT SDN BHD,,"Design & implement new app modules based on the product requirements using Flutter framework.
Build reusable code and libraries for future use."
17,Unity Developer,Hays,,"You would be responsible for developing interactive experiences such as Augmented Reality & Virtual Reality, be it on any platform events, kiosks, mobile,…"
18,INTERNSHIP-Full time Programmer to develop Websites and Apps,AQ Wise Sdn Bhd,,"INTERNSHIP- Full time Programmer to develop Websites and Apps.
Acquire Flutter programming skill or Willing to learn Flutter intensively."
