,title,company,salary,description
0,Snr Flutter Developer,Green Packet International Sdn Bhd,,"Job Responsibilities:

Designs, develops, and provides customization of various…"
1,Flutter Developer,Snaphunt,,"The OfferOpportunity within an award-winning people development solutions firmBe involved in developing high-impact products Work in a fast-paced, startup…"
2,Junior Full Stack Developer I WFH & Office-Hybrid,AGTIV Consulting Sdn Bhd,,"Our projects are with some of the largest banks, insurance, oil & gas as well as pharmaceutical companies in Malaysia, Singapore, India, France, and beyond."
3,Software Engineer,Wemabox Solutions Sdn. Bhd.,,"Job Description Software Engineer is responsible to design and implement system, feature, and solutions business needs."
4,Associate/Senior Mobile Engineer (Flutter),Astro,,"The role will build, enhance and monitor mobile apps of ASTRO digital products, in a team that is focused on quality and security of mobile appsWhat you will do…"
5,Flutter Developer,Brandt International Sdn Bhd,,Develop state of the art highly interactive and rich animation experience for mobile and desktop app using Flutter.
6,Junior/Senior Software Engineer (软件工程师),DD Online Services & Enterprise,,"Accommodation provided for non-Johorian.
Travel leaves with air ticket allowance.
Annual leave and sick leave.
Develop and deliver features in a timely matter."
7,Mobile App Developer,QuickDesk,,"You will be working on our mobile applications (iOS and/or Android);
Develop user-facing features for the mobile applications;"
8,Mobile Application Developer,JobCity.my,,"Developing Mobile Application using latest Google Flutter and DartPre-requisites:Candidate must possess at least Diploma/Advanced/Higher/Graduate Diploma,…"
9,Flutter Developer,BEEDUCATION ADVENTURES SDN BHD,,"Within defined quality and performance standards.
Participate throughout the SDLC, including analysis, design, development, testing, integration, deployment and…"
10,"Full Stack Web Application Developer @ Butterworth, Penang",PERSOLKELLY,,"Developing back end website applications.
Ensuring cross-platform optimization for mobile phones.
Working alongside graphic designers for web design features."
11,Unity Developer,Hays,,"You would be responsible for developing interactive experiences such as Augmented Reality & Virtual Reality, be it on any platform events, kiosks, mobile,…"
12,Software Developer,MAXUNITY TECHNOLOGY SDN BHD,,"Candidate must possess at least Diploma/Advanced/Higher/Graduate Diploma, Bachelor's Degree/Post-Graduate Diploma/Professional Degree in Engineering (Computer…"
13,Mobile Developer,Tamarix Onesolutions Sdn Bhd,,"✅ Familiar with flutter framework (Added Advantage).
✅ Transform business requirement into mobile apps.
✅ Experienced in IOS and Android Developments."
14,Frontend Engineer,Technerve Technology Solutions Sdn Bhd,,"Minimum 2 years experience in HTML, CSS, and Javascript.
Good understanding of responsive design and mobile optimized websites."
15,Flutter Developer,ACD Development Sdn. Bhd,,"Within defined quality and performance standards.
Participate throughout the SDLC, including analysis, design, development, testing, integration, deployment and…"
16,Internship for Computer IT (Web Programmer),Dideta Multitech Sdn Bhd,,Testing and de-bugging to make sure our platform runs smoothly Data processing and analysis Exposure to cloud technologies Requirements: Candidate must possess…
17,Flutter Junior Programmer,XEERSOFT SDN BHD,,"Design & implement new app modules based on the product requirements using Flutter framework.
Build reusable code and libraries for future use."
18,Wordpress & Mobile App Developer,Advance Plus Property Management Sdn Bhd,,"Job Scopes: - Develop and maintain websites and web-based application with WordPress, WooCommerce & CMS - Designing, integrating, upgrading and maintaining the…"
19,Mobile App Developer,Wemabox Solutions Sdn. Bhd.,,"Job Description Mobile App Developer is responsible to design and implement system, feature, and solutions business needs."
20,Account Executive (Digital Media Project),Nuren Group,,"You will play the account management role in handling our advertiser's digital media projects & campaigns.
You are responsible for managing the flow of work for…"
21,Mobile Developer (Flutter),Hays,,"You will be working with a team to develop and maintain high quality mobile applications.
You will design, develop, and improvise mobile applications using…"
22,Mobile Application Developer (Cross Platform),Whip Technology Sdn Bhd,,"Develop intuitive and user friendly cross platform application for mobile and tablet devices,.
Support entire application lifecycle (concept, design, test,…"
23,Mobile App Developer (PJ area/Up to 6k/MS SQL),Agensi Pekerjaan Times Management Consultancy Sdn...,,"Developing customized solutions for the mobile platform.
Designing, coding, and implementing mobile applications.
Stay up-to-date with new technology trends."
24,Junior Programmer,ZR TECHMOTION SDN BHD,,"You will be working on full stack web system and mobile application development.
Study for Software Engineering Major.
Experience on MySQL database server."
25,INTERNSHIP-Full time Programmer to develop Websites and Apps,AQ Wise Sdn Bhd,,"INTERNSHIP- Full time Programmer to develop Websites and Apps.
Acquire Flutter programming skill or Willing to learn Flutter intensively."
26,Mobile Apps Developer,Agensi Pekerjaan Career Horizons,,"• Transform business requirements into functional mobile apps.
Monitor, optimize and maintain high performance of the application."
27,Full Stack Web Application Developer,Agensi Pekerjaan Allstaff Sdn Bhd,,Qualification: • Bachelor's Degree in Computer Science or equivalent Job Scope: • Developing front end website architecture.
28,Flutter Developer,Hays,,"In this team, you will be working closely with the developers, Project Managers, Solution Architect and other members of the project team."
29,Web Front-End / Mobile Application Developer (Flutter),atQuest Solutions,,"Creates next generation mobile application for iOS and Android devices.
Responsible for the development, testing, release and support of the application’s…"
30,Mobile Developer (Flutter),Hays,,"You will be working with a team to develop and maintain high quality mobile applications.
You will design, develop, and improvise mobile applications using…"
31,Mobile Application Developer (Cross Platform),Whip Technology Sdn Bhd,,"Develop intuitive and user friendly cross platform application for mobile and tablet devices,.
Support entire application lifecycle (concept, design, test,…"
32,Mobile App Developer (PJ area/Up to 6k/MS SQL),Agensi Pekerjaan Times Management Consultancy Sdn...,,"Developing customized solutions for the mobile platform.
Designing, coding, and implementing mobile applications.
Stay up-to-date with new technology trends."
33,Junior Programmer,ZR TECHMOTION SDN BHD,,"You will be working on full stack web system and mobile application development.
Study for Software Engineering Major.
Experience on MySQL database server."
34,INTERNSHIP-Full time Programmer to develop Websites and Apps,AQ Wise Sdn Bhd,,"INTERNSHIP- Full time Programmer to develop Websites and Apps.
Acquire Flutter programming skill or Willing to learn Flutter intensively."
35,Mobile Apps Developer,Agensi Pekerjaan Career Horizons,,"• Transform business requirements into functional mobile apps.
Monitor, optimize and maintain high performance of the application."
36,Full Stack Web Application Developer,Agensi Pekerjaan Allstaff Sdn Bhd,,Qualification: • Bachelor's Degree in Computer Science or equivalent Job Scope: • Developing front end website architecture.
37,Flutter Developer,Hays,,"In this team, you will be working closely with the developers, Project Managers, Solution Architect and other members of the project team."
38,Web Front-End / Mobile Application Developer (Flutter),atQuest Solutions,,"Creates next generation mobile application for iOS and Android devices.
Responsible for the development, testing, release and support of the application’s…"
39,PHP developer,Agensi Pekerjaan Synopsis Sdn Bnd,,Requirements: ✅ Have extensive knowledge in exploring API and UI standards ✅ Familiar with php/laravel framework ✅ Familiar with flutter framework (Added…
40,Mobile Application Developer,Nss It Solution Sdh Bhd,,Develop mobile Android and iOS applications • Applicant can possess one or more the following skill set: - Develop iOS application using Swift and/or Obj-C -…
41,DevOps Engineer (Software Development & IT Operations) (软件开发...,DD Online Services & Enterprise,,"Accommodation provided for non-Johorian.
Travel leaves with air ticket allowance.
Annual leave and sick leave.
Ability to speak and write in English fluently."
42,Quality Assurance Engineer,MHub,,"As a Quality Assurance Engineer, you will be responsible for creating test cases, covering functional, technical and UI end-to-end tests for all products and…"
43,IT Support Engineer,Ninja Van,,"Maintain and proactively improve the IT infrastructure of the company to avoid disruptions to operations.
Support and administer third party software and SaaS…"
44,Mobile App Developer,Marvel Media Sdn Bhd,,"Take ownership of the entire application lifecycle (concept, design, test, release and support).
Continuously research, evaluate and adapt new mobile…"
45,Web & Apps Developer,BLUEDALE INTEGRATED (M) SDN. BHD.,,"Responsible for designing, coding and modifying websites, from layout to function.
Strive to create visually appealing sites that feature user-friendly design…"
46,Internship - Front End Developer,JobCity.my,,"Bonus : Familiar with frontend framework like vuejs, flutter, reactjs, reactnative etc.
Requirements:Candidates must at least possess Diploma levelGood problem…"
47,Software Developer,Pingspace Sdn. Bhd.,,"Our Software Developers work on a range of problems: from the backend (designing database, designing operation optimization algorithms, designing communication…"
48,Software Developer,EV-Dynamic Sdn Bhd,,"Troubleshooting, debugging, and fixing errors, improve the performance or upgrade interfaces.
Responsible to produce clean and efficient code based on…"
49,Junior Programmer,DE METROLOGY SDN BHD,,"You will be working on full stack web system and mobile application development.
Requirement: - Study for Software Engineering Major - Working experience on…"
50,Flutter Developer,EPS Malaysia,,View all EPS Malaysia jobs - Kuala Lumpur jobsSalary Search: Flutter Developer salaries in Kuala Lumpur
51,Backend Developer,Fast Hiring Jobs - part of Hiredly team,,Work closely with the tech lead and collaborate with the core organisation team in accordance with projects consists of web and mobile apps.
52,MOBILE DEVELOPER,EBOSS INNOVATION SDN BHD,,"*Developing, debugging and supporting* mobile applications (iOS/Android) and their infrastructure.
Be actively involved in *technical design *of the application…"
53,iOS Developer,Snaphunt,,"Transferring existing iOS application to React Native Platform.
Writing well-designed, testable and efficient code.
You possess strong knowledge of IOS, ASP."
54,Mobile Apps Developer (Full-stack),Mysuri Biz Technologies Sdn Bhd,,Stack : HTML CSS JavaScript jQuery - Understands Repository Design Pattern - Able to write fully-functional API codes - Good to have basic knowledge in back-end…
55,Mobile Application Developer (Flutter),EPS Malaysia,,"Design and build sophisicated and highly scalable apps using Flutter.
Support the entire application lifestyle (concept, design, test, release and support)."
56,Mobile App Developer,SENWAVE RETAIL SOLUTIONS SDN BHD,,"Work closely with customers, analysts, and team members to understand business requirements that drive the analysis and design of quality technical solutions."
57,Mobile App Developer,QuickDesk Sdn Bhd,,"You will be working on our mobile applications (iOS and/or Android);
Develop user-facing features for the mobile applications;"
58,Graduate Trainee - Mobile Application Developer,Agmo Studio Sdn Bhd,,"Collaborate with cross-functional teams to design and develop mobile application.
Integrate with REST JSON API.
Post production monitoring and support."
59,Front-end Developer,Big Corridor Sdn Bhd,,"Translate designs and mock-ups into front-end code.
Perform integrations between front-end and back-end interfaces.
Resolve bottlenecks, and software bugs."
60,Software Engineer,Brighten Business Consulting Sdn Bhd,,"Developing and managing well-functioning databases and applications.
Developing front-end website architecture with appealing visual design."
61,Full-Stack Developer,AFIC Solutions,,"Mobile: *Flutter, BLOC, Micro-service implementation.
Database: *SQL (Microsoft SQL Server / MySQL Server);
Good knowledge of Relational Databases."
62,Frontend Developer,Fast Hiring Jobs - part of Hiredly team,,"Build reusable code and libraries for various projects.
Collaborate with other developers, designers, and architects to meet application requirements and…"
63,"AVP, Mobile Engineer Lead - iOS",Astro,,"The role will build, enhance and monitor mobile apps of ASTRO digital products , in a team that is focused on quality and security of mobile apps ."
64,System Analyst / Analyst Programmer,Subur Tiasa Holdings Berhad,,"Job Responsibility:To play a proactive role in deriving system solutions to any given business requirement or problem To design, develop, integrate, test,…"
65,Flutter Developer,EPS Malaysia,,View all EPS Malaysia jobs - Kuala Lumpur jobsSalary Search: Flutter Developer salaries in Kuala Lumpur
66,System Analyst / Analyst Programmer,Subur Tiasa Holdings Berhad,,"Job Responsibility:To play a proactive role in deriving system solutions to any given business requirement or problem To design, develop, integrate, test,…"
67,WEB & APPS DEVELOPER,Bluedale Publishing (M) Sdn Bhd,,"Responsible for designing, coding and modifying websites, from layout to function.
Strive to create visually appealing sites that feature user-friendly design…"
68,Mobile Application Developer (Flutter),EPS Malaysia,,"Design and build sophisicated and highly scalable apps using Flutter.
Support the entire application lifestyle (concept, design, test, release and support)."
69,IT Technician/Officer/Executive,Fitxcapes Sdn. Bhd.,,You will be primarily responsible for designing and developing the back-end of the web application but will also be tasked with integrating front-end components…
70,Frontend Developer,Fast Hiring Jobs - part of Hiredly team,,"Build reusable code and libraries for various projects.
Collaborate with other developers, designers, and architects to meet application requirements and…"
71,Software Engineer,Brighten Business Consulting Sdn Bhd,,"Developing and managing well-functioning databases and applications.
Developing front-end website architecture with appealing visual design."
72,Senior Mobile App Engineer,SKYMIND HOLDINGS BERHAD,,Job Description for Senior Mobile App Engineer: - Participate in design and developing of mobile user interface in collaboration with UI/UX team and backend…
73,Web Application Developer (Front End/ Full Stack),MHub,,"Write well designed, testable, efficient code by using best software development practices.
Integrate data from various back-end services and databases."
74,Mobile App Developer,QuickDesk Sdn Bhd,,"You will be working on our mobile applications (iOS and/or Android);
Develop user-facing features for the mobile applications;"
75,Mobile App Developer,CRE Inspiration Sdn Bhd,,"Must be able to develop and maintain mobile application.
With Flutter knowledge will be advantage.
Diploma / Advanced Diploma / Higher Graduate Diploma / DVM /…"
76,Mobile / Web Developer,Plant Cartridge Sdn Bhd,,"Bachelor’s Degree / Diploma / Certificate in computer science or any related field.
At least one to three years of solid working experience in Mobile/Web…"
77,"AVP, Mobile Engineer Lead - iOS",Astro,,"The role will build, enhance and monitor mobile apps of ASTRO digital products , in a team that is focused on quality and security of mobile apps ."
78,Associate/Senior Mobile Engineer,Astro,,"The role will build, enhance and monitor mobile apps of ASTRO digital products, in a team that is focused on quality and security of mobile apps."
79,Software Engineer,Big Corridor Sdn Bhd,,"Translate application storyboards and use-cases into functional.
Engineering elegant solutions that solve business problems.
O Web API, Entity Framework on ."
80,Lead Solution Architect – Mobile,HILTI,,Prepare an architecture vision for a sustainable and modular B2B Mega app (think of the scale of the Amazon shopping app or Uber or Grab apps as a benchmark)…
