,title,company,location,salary,description
0,Mobile Application Developer - Behavioral Health,Empathic,Kuala Lumpur•Remote,"RM 4,000 - RM 5,000 a month","Support the entire application lifecycle (concept, design, test, release and support).
Produce fully functional mobile applications writing clean code."
1,Software Developer,MAXUNITY TECHNOLOGY SDN BHD,Puchong,"RM 3,000 - RM 5,000 a month","Candidate must possess at least Diploma/Advanced/Higher/Graduate Diploma, Bachelor's Degree/Post-Graduate Diploma/Professional Degree in Engineering (Computer…"
2,Flutter Mobile Engineer,Techtiera,Kuala Lumpur,"RM 2,977 - RM 10,358 a month","Build new and key features for Setel on our Flutter codebase by working closely with the Product Managers, design teams and backend team."
3,Full Time Back End Developer,Startups,Malaysia,,"Php | laravel | mysql | css | html | html5.
Providing full range digital services (online marketing, web hosting, mobile application development, web…"
4,Flutter Developer,Brandt International Sdn Bhd,Kuala Lumpur,"RM 6,000 a month",Develop state of the art highly interactive and rich animation experience for mobile and desktop app using Flutter.
5,Mobile App Developer,QuickDesk,Malaysia,,"You will be working on our mobile applications (iOS and/or Android);
Develop user-facing features for the mobile applications;"
6,Web Front-End / Mobile Application Developer (Flutter),atQuest Solutions,Kuala Lumpur,,"Creates next generation mobile application for iOS and Android devices.
Responsible for the development, testing, release and support of the application’s…"
7,Internship for Front End Developer,Startups,Malaysia,,"Bonus : Familiar with frontend framework like vuejs, flutter, reactjs, reactnative etc.
Good at HTML,PHP,CSS ,JavaScript and MySQL."
8,Mobile Apps Developer (IOS/ Android/ Flutter),IY Staffing Group,Klang,"RM 3,000 - RM 5,000 a month","This is a full time permanent position.
Medical Claims, Medical Insurance, Medical Leaves, Annual Leaves, Monthly Allowances, Annual Bonus, Company Trips and…"
9,MOBILE DEVELOPER,The eCEOS Sdn Bhd,Kuala Lumpur,"RM 6,000 - RM 9,000 a month","A Mobile developer who is able to do application coding, testing, debugging, documenting and monitoring.
As part of agile team, involvement also includes user…"
10,IT Application Developer,DreamHunters,Kuala Lumpur•Remote,"RM 800 - RM 1,300 a month","Familiar with Flutter and Laravel.
Diploma/Bachelor’s Degree in I.T. or similar field of study.
Familiar with Flutter and Laravel."
11,Mobile Developer (Flutter),Hays,Malaysia,,"You will be working with a team to develop and maintain high quality mobile applications.
You will design, develop, and improvise mobile applications using…"
12,Web & Mobile Developer,Softoya International Sdn Bhd,Teluk Panglima Garang,"RM 2,000 - RM 3,000 a month","Programming : Java / Ajax / Jquery / HTML5 / PHP / Javascript / AngularJS / CSS / Ruby on Rail.
Framework : IONIC, Flutter, React Native, Android Studio, XCode."
13,Flutter Developer (Work From Home – Preferably Cantonese/Man...,Unicorn Creative Limited,Kuala Lumpur•Remote,,"Candidate must possess at least Diploma in Computer Engineer, IT or equivalent;
At least one year experience in Flutter Development for both iOS and Android;"
14,Mobile App Developer,Marvel Media Sdn Bhd,Jelutong,,"Take ownership of the entire application lifecycle (concept, design, test, release and support).
Continuously research, evaluate and adapt new mobile…"
