,title,company,location,salary,description
0,INTERN DEVELOPMENT COMPUTER SCIENCE,Mysuri Biz Technologies Sdn Bhd,Cyberjaya,"RM 1,200 a month","JOB DESCRIPTION Stack : HTML CSS JavaScript jQuery, Understands Repository design Pattern, Able to write fully-functional API codes, Good to have basic…"
1,Flutter Developer - 183,ICREST SDN BHD,Petaling Jaya,"RM 8,000 - RM 9,999 a month","Build & maintain mobile application in Flutter.
Design & provide recommendations on coding design & client side architecture."
2,Flutter Developer,Snappymob,Kuala Lumpur,,"As part of the team, you’ll be collaborating with other engineers and team members on creating delightful, mission-critical software applications that our…"
3,Flutter Developer,Brandt International Sdn Bhd,Kuala Lumpur,"RM 6,000 a month",Develop state of the art highly interactive and rich animation experience for mobile and desktop app using Flutter.
4,Software Developer,Allstaff sdn bhd,Bayan Lepas,"RM 3,500 - RM 4,000 a month","Diploma/ Degree in Computer Science, Computer Programming or related field.
At least 1 year working experience in related field."
5,Mobile App Developer,QuickDesk,Malaysia,,"You will be working on our mobile applications (iOS and/or Android);
Develop user-facing features for the mobile applications;"
6,Flutter Developer,4X Software Sdn Bhd,Cyberjaya,,"Your role As a Flutter Developer at Deriv, you will be responsible for designing and developing applications for iOS and Android platforms while working closely…"
7,Mobile Engineer - Flutter,Glints Malaysia,Kuala Lumpur,,"Lead and develop product features, and eventually epics, with the mobile engineering team.
Work collaboratively with product manager and product designers to…"
8,Flutter Developer,AR MECHATRONICS PLT,Johor Bahru,,"������ ������������������������ • Design, code and deploy cross platform mobile application using Flutter • Develop app updates following requirements, bug…"
9,Junior/Senior Software Tester,vimigo,Kuala Lumpur•Temporarily Remote,"RM 3,000 - RM 6,000 a month","As a Unit Software Tester, you will play an instrumental role in fueling Company’s growth through providing timely solutions to execute all levels of testing …"
10,Software Developer,EV-Dynamic Sdn Bhd,Putra Heights,"RM 2,700 - RM 4,000 a month","Troubleshooting, debugging, and fixing errors, improve the performance or upgrade interfaces.
Responsible to produce clean and efficient code based on…"
11,IT Support Engineer,Ninja Van,Shah Alam,,"Maintain and proactively improve the IT infrastructure of the company to avoid disruptions to operations.
Support and administer third party software and SaaS…"
12,IT Application Developer,DreamHunters,Kuala Lumpur•Remote,"RM 800 - RM 1,300 a month","Familiar with Flutter and Laravel.
Diploma/Bachelor’s Degree in I.T. or similar field of study.
Familiar with Flutter and Laravel."
13,INTERNSHIP-Full time Programmer to develop Websites and Apps,AQ Wise Sdn Bhd,Shah Alam•Remote,,"INTERNSHIP- Full time Programmer to develop Websites and Apps.
Acquire Flutter programming skill or Willing to learn Flutter intensively."
