,title,company,location,salary,description
0,INTERNSHIP-Full time Programmer to develop Websites and Apps,AQ Wise Sdn Bhd,Shah Alam•Remote,,"INTERNSHIP- Full time Programmer to develop Websites and Apps.
Acquire Flutter programming skill or Willing to learn Flutter intensively."
1,Software Developer,EV-Dynamic Sdn Bhd,Putra Heights,"RM 2,700 - RM 4,000 a month","Troubleshooting, debugging, and fixing errors, improve the performance or upgrade interfaces.
Responsible to produce clean and efficient code based on…"
2,Mobile Developer (Flutter),Code Titan Sdn Bhd,Bandar Sunway,"RM 2,200 - RM 3,000 a month",At least 1-2 Year of working experience in the related field.
3,IT Application Developer,DreamHunters,Kuala Lumpur•Remote,"RM 800 - RM 1,300 a month","Diploma/Bachelor’s Degree in I.T. or similar field of study.
Familiar with Flutter and Laravel.
Availability for travel and change of residence: No."
4,Flutter Developer,GetEat,Klang,"RM 5,000 - RM 9,000 a month","You will interact with talented stakeholders and learn cutting-edge technologies.
Publishing apps on to App Store.
Publishing apps on to Google Play."
5,IT Intern,BestWeb Technologies Sdn Bhd,Bukit Jalil,,"Support the Operation team in maintaining support ticketing system.
Assist with troubleshooting issues and provide technical support."
6,Flutter Developer,ASIAQUEST INTERNET MALAYSIA SDN BHD,Kuala Lumpur,"RM 4,000 - RM 4,999 a month","Writing well-designed and efficient Dart code by using best practices.
Work closely with other Front End, UI/UX designers Liaise with the Product development…"
7,Software Developer,Allstaff sdn bhd,Bayan Lepas,"RM 3,500 - RM 4,000 a month","Diploma/ Degree in Computer Science, Computer Programming or related field.
At least 1 year working experience in related field."
8,Mobile Developer,SIAGAX INDUSTRIES (M) SDN BHD,Cyberjaya,"RM 4,000 - RM 10,000 a month","Identify and plan for new features.
Develop application programming interfaces (APIs) to support mobile functionality.
3+ years of demonstrable experience."
9,Flutter Developer,ARTISAN IT SOLUTION SDN. BHD.,Kuala Lumpur,,"Mobile app developers implement applications software for mobile devices, based on the designs provided, using general or specific development tools for device…"
10,FLUTTER DEVELOPER,Live Commerce Sdn Bhd,Kuala Lumpur,"RM 3,500 - RM 3,999 a month","Architect, design, develop, and maintain Flutter applications.
Collaborate with the engineering team at large in software design sessions, code reviews,…"
11,Junior Full Stack Developer I WFH & Office-Hybrid,AGTIV Consulting Sdn Bhd,Kuala Lumpur•Remote,"RM 3,000 - RM 3,499 a month","Our projects are with some of the largest banks, insurance, oil & gas as well as pharmaceutical companies in Malaysia, Singapore, India, France, and beyond."
12,Flutter Developer,Brandt International Sdn Bhd,Kuala Lumpur,"RM 6,000 a month",Develop state of the art highly interactive and rich animation experience for mobile and desktop app using Flutter.
13,Flutter Developer,Snappymob,Kuala Lumpur,,"As part of the team, you’ll be collaborating with other engineers and team members on creating delightful, mission-critical software applications that our…"
14,Software Engineer,FEEDME POS SDN BHD,Johor Bahru,"RM 4,000 - RM 4,999 a month","Join our young and innovative product team and start to deliver high-quality software to South East Asia.
Our Perks: EPF, SOCSO, EIS Various allowance Annual…"
15,Software Engineer,MAXUNITY TECHNOLOGY SDN BHD,Puchong,"RM 2,800 - RM 5,000 a month","Candidate must possess at least Diploma/Advanced/Higher/Graduate Diploma, Bachelor's Degree/Post-Graduate Diploma/Professional Degree in Engineering (Computer…"
16,Software Developer,WELORY INNOVATION SDN BHD,Kota Damansara•Remote,"RM 2,500 - RM 3,500 a month","Develop, enhance and test customised software and mobile apps to meet the requirements.
Participates in the entire software development cycle."
17,Mobile App Developer,TRIBEANS SOLUTIONS (M) SDN BHD,Cyberjaya,"RM 2,500 - RM 2,999 a month","Translate UI/UX designs into high quality code.
Develop new features for our web applications.
Assist and advise on UI/UX design capabilities and improvements."
18,Junior/Senior Software Tester,vimigo,Kuala Lumpur•Temporarily Remote,"RM 3,000 - RM 6,000 a month","As a Unit Software Tester, you will play an instrumental role in fueling Company’s growth through providing timely solutions to execute all levels of testing …"
