,title,company,location,salary,description
0,Mobile Application Developer - Behavioral Health,Empathic,Kuala Lumpur•Remote,"RM 4,000 - RM 5,000 a month","Support the entire application lifecycle (concept, design, test, release and support).
Produce fully functional mobile applications writing clean code."
1,Flutter Developer,Snappymob,Kuala Lumpur,,"As part of the team, you’ll be collaborating with other engineers and team members on creating delightful, mission-critical software applications that our…"
2,Flutter Developer - 183,ICREST SDN BHD,Petaling Jaya,"RM 8,000 - RM 9,999 a month","Build & maintain mobile application in Flutter.
Design & provide recommendations on coding design & client side architecture."
3,Mobile Engineer - Flutter,Glints Malaysia,Kuala Lumpur,,"Lead and develop product features, and eventually epics, with the mobile engineering team.
Work collaboratively with product manager and product designers to…"
4,Software Developer,Allstaff sdn bhd,Bayan Lepas,"RM 3,500 - RM 4,000 a month","Diploma/ Degree in Computer Science, Computer Programming or related field.
At least 1 year working experience in related field."
5,Flutter Developer,AR MECHATRONICS PLT,Johor Bahru,,"������ ������������������������ • Design, code and deploy cross platform mobile application using Flutter • Develop app updates following requirements, bug…"
6,Flutter Developer,4X Software Sdn Bhd,Cyberjaya,,"Your role As a Flutter Developer at Deriv, you will be responsible for designing and developing applications for iOS and Android platforms while working closely…"
7,INTERN DEVELOPMENT COMPUTER SCIENCE,Mysuri Biz Technologies Sdn Bhd,Cyberjaya,"RM 1,200 a month","JOB DESCRIPTION Stack : HTML CSS JavaScript jQuery, Understands Repository design Pattern, Able to write fully-functional API codes, Good to have basic…"
8,Flutter Developer,Brandt International Sdn Bhd,Kuala Lumpur,"RM 6,000 a month",Develop state of the art highly interactive and rich animation experience for mobile and desktop app using Flutter.
9,IT Application Developer,DreamHunters,Kuala Lumpur•Remote,"RM 800 - RM 1,300 a month","Familiar with Flutter and Laravel.
Diploma/Bachelor’s Degree in I.T. or similar field of study.
Familiar with Flutter and Laravel."
10,Mobile App Developer,QuickDesk,Malaysia,,"You will be working on our mobile applications (iOS and/or Android);
Develop user-facing features for the mobile applications;"
11,Software Developer,EV-Dynamic Sdn Bhd,Putra Heights,"RM 2,700 - RM 4,000 a month","Troubleshooting, debugging, and fixing errors, improve the performance or upgrade interfaces.
Responsible to produce clean and efficient code based on…"
12,Software Developer Mobile App Intern,DeltaFrontier,Kuala Lumpur•Temporarily Remote,RM 600 - RM 750 a month,"Design and build Android and iOS mobile applications.
Work closely with design, product management, and development teams to analyse, design, and ship new…"
13,Flutter Developer (Work From Home – Preferably Cantonese/Man...,Unicorn Creative Limited,Kuala Lumpur•Remote,,"Candidate must possess at least Diploma in Computer Engineer, IT or equivalent;
At least one year experience in Flutter Development for both iOS and Android;"
14,IT Support Engineer,Ninja Van,Shah Alam,,"Maintain and proactively improve the IT infrastructure of the company to avoid disruptions to operations.
Support and administer third party software and SaaS…"
15,Junior/Senior Software Tester,vimigo,Kuala Lumpur•Temporarily Remote,"RM 3,000 - RM 6,000 a month","As a Unit Software Tester, you will play an instrumental role in fueling Company’s growth through providing timely solutions to execute all levels of testing …"
16,Flutter Mobile Engineer,Techtiera,Kuala Lumpur,"RM 2,977 - RM 10,358 a month","Build new and key features for Setel on our Flutter codebase by working closely with the Product Managers, design teams and backend team."
17,Software Developer,Agensi Pekerjaan Allstaff Sdn Bhd,Jelutong,,"Requirements - At least 1 year working experience in related field.
Writing in English - Strong communication skills - Advanced computer literacy - Knowledge in…"
18,INTERNSHIP-Full time Programmer to develop Websites and Apps,AQ Wise Sdn Bhd,Shah Alam•Remote,,"INTERNSHIP- Full time Programmer to develop Websites and Apps.
Acquire Flutter programming skill or Willing to learn Flutter intensively."
19,Internship for Front End Developer,Startups,Malaysia,,"Bonus : Familiar with frontend framework like vuejs, flutter, reactjs, reactnative etc.
Good at HTML,PHP,CSS ,JavaScript and MySQL."
20,Junior Web Developer,Bravo Net Solution,Petaling Jaya,"RM 2,500 - RM 2,999 a month","Optional skills: Flutter, Vuejs, Linux Command, & MongoDB, Android Kotlin, iOS Swift, server/code speed optimisation, basic code & server security."
21,NesJS Backend Engineer - 184,ICREST SDN BHD,Petaling Jaya,"RM 10,000 - RM 12,999 a month","Job Responsibilities • Work directly with CTO, development teams, and product managers to ideate software solutions.
Proven hands-on experience with NestJS."
